Date,Dead Hang  Set 1 (secs),Dead Hang  Set 2 (secs),Dead Hang  Set 3 (secs),Average Dead  Hang (secs),Maximum  Pull-Ups,Left Forearm  Circumference (cm),Right Forearm  Circumference (cm),Left Biceps  Circumference (cm),Right Biceps Circumference (cm),Lats Spread  Width (cm),Weight (kg),Perceived  Difficulty (1-10),Day_Number,Dead_Hang_MA7
2025-12-03,66.0,48.0,50.0,54.66666667,0.0,25.0,26.0,28.0,29.0,44.0,61.0,9.0,1,54.66666667
2025-12-04,40.0,47.0,30.0,39.0,0.0,25.0,26.0,28.0,29.0,44.0,60.0,10.0,2,46.833333335
2025-12-05,55.0,45.0,40.0,46.66666667,0.0,25.0,26.0,28.0,29.0,44.0,60.0,10.0,3,46.77777778
2025-12-06,53.0,53.0,50.0,52.0,0.0,25.0,26.0,28.0,29.0,44.0,61.0,9.0,4,48.083333335
2025-12-07,66.0,58.0,47.0,57.0,0.0,25.0,26.0,28.0,29.0,44.0,61.0,8.0,5,49.866666668
2025-12-08,61.0,47.0,51.0,53.0,0.0,25.0,26.0,28.0,29.0,44.0,62.0,7.0,6,50.38888889
2025-12-09,67.0,48.0,65.0,60.0,0.0,25.0,27.0,28.0,29.0,44.0,61.0,8.0,7,51.761904762857135
2025-12-10,55.0,55.0,43.0,51.0,0.0,25.0,26.0,28.0,29.0,44.0,61.0,9.0,8,51.23809523857143
2025-12-11,58.0,66.0,47.0,57.0,0.0,25.0,26.0,29.0,29.0,44.0,61.0,8.0,9,53.80952381000001
2025-12-12,81.0,55.0,52.0,62.66666667,0.0,26.0,27.0,28.0,29.0,44.0,60.0,8.0,10,56.095238095714286
2025-12-13,74.0,59.0,54.0,62.33333333,0.0,26.0,26.0,28.0,29.0,44.0,61.0,9.0,11,57.57142857142857
2025-12-14,51.0,46.0,52.0,49.66666667,0.0,25.0,26.0,28.0,29.0,44.0,62.0,8.0,12,56.52380952428572
2025-12-15,69.0,72.0,47.0,62.66666667,0.0,26.0,27.0,28.0,29.0,44.0,60.0,8.0,13,57.90476190571429
2025-12-16,72.0,73.0,63.0,69.33333333,0.0,26.0,27.0,28.0,29.0,44.0,60.0,9.0,14,59.238095238571425
2025-12-17,60.0,53.0,48.0,53.66666667,0.0,25.0,26.0,28.0,29.0,44.0,61.0,8.0,15,59.61904762
2025-12-18,65.0,58.0,44.0,55.66666667,0.0,25.0,26.0,28.0,29.0,44.0,61.0,8.0,16,59.42857142999999
