Date,"Dead Hang 
Set 1 (secs)","Dead Hang 
Set 2 (secs)","Dead Hang 
Set 3 (secs)","Average Dead 
Hang (secs)","Maximum 
Pull-Ups","Left Forearm 
Circumference (cm)","Right Forearm 
Circumference (cm)","Left Biceps 
Circumference (cm)","Right Biceps
Circumference (cm)","Lats Spread 
Width (cm)",Weight (kg),"Perceived 
Difficulty (1-10)",
12/3/2025,66,48,50,54.66666667,0,25,26,28,29,44,61,9,
12/4/2025,40,47,30,39,0,25,26,28,29,44,60,10,Saket sa kamay shet
12/5/2025,55,45,40,46.66666667,0,25,26,28,29,44,60,10,
12/6/2025,53,53,50,52,0,25,26,28,29,44,61,9,Napapabitaw dahil sa kamay
12/7/2025,66,58,47,57,0,25,26,28,29,44,61,8,
12/8/2025,61,47,51,53,0,25,26,28,29,44,62,7,Napapabitaw dahil natatawa
12/9/2025,67,48,65,60,0,25,27,28,29,44,61,8,
12/10/2025,55,55,43,51,0,25,26,28,29,44,61,9,
12/11/2025,58,66,47,57,0,25,26,29,29,44,61,8,
12/12/2025,81,55,52,62.66666667,0,26,27,28,29,44,60,8,
12/13/2025,74,59,54,62.33333333,0,26,26,28,29,44,61,9,
12/14/2025,51,46,52,49.66666667,0,25,26,28,29,44,62,8,biglang nawawala yung lakas sumabet
12/15/2025,69,72,47,62.66666667,0,26,27,28,29,44,60,8,
12/16/2025,72,73,63,69.33333333,0,26,27,28,29,44,60,9,
12/17/2025,60,53,48,53.66666667,0,25,26,28,29,44,61,8,
12/18/2025,65,58,44,55.66666667,0,25,26,28,29,44,61,8,
12/19/2025,64,57,46,55.66666667,0,25,26,28,29,44,61,8,
12/20/2025,56,46,40,47.33333333,0,25,26,28,29,44,61,9,natatawa tlga lagi
12/21/2025,67,40,52,53,1,26,26,28,29,44,61,9,
12/22/2025,63,61,51,58.33333333,3,26,26,28,29,44,60,8,
12/23/2025,79,66,52,65.66666667,3,26,26,28,29,44,60,8,
12/24/2025,,,,,,,,,,,,,
12/25/2025,,,,,,,,,,,,,
12/26/2025,79,62,65,68.66666667,3,26,26,28,29,44,60,8,
12/27/2025,,,,,,,,,,,,,
12/28/2025,79,72,51,67.33333333,4,26,27,28,29,44,60,7,
12/29/2025,80,67,54,67,4,26,26,28,29,44,60,7,
12/30/2025,82,70,85,79,4,27,27,28,29,44,61,6,Nakakasuka lng bigla
12/31/2025,77,68,69,71.33333333,4,27,27,28,29,44,61,6,
1/1/2026,89,85,76,83.33333333,4,27,27,28,29,44,62,6,
1/2/2026,88,78,63,76.33333333,4,27,27,28,29,44,62,6,
1/3/2026,69,56,71,65.33333333,1,26,27,28,29,44,61,8,hirap tlga pag natatawa
1/4/2026,100,92,83,91.66666667,4,27,27,29,29,44,60,7,
1/5/2026,85,81,79,81.66666667,,26,27,29,29,44,60,7,
1/6/2026,,,,,,,,,,,,,
1/7/2026,,,,,,,,,,,,,
1/8/2026,,,,,,,,,,,,,
